accounts-qml-module 0.7-4
pulseaudio-equalizer 14.2-3
purpose 5.83.0-1
python 3.9.5-3
python-appdirs 1.4.4-3
python-attrs 21.2.0-1
python-babel 2.9.1-1
python-bcrypt 3.2.0-3
python-beaker 1.11.0-6
python-cached-property 1.5.2-3
python-cffi 1.14.5-1
python-chardet 4.0.0-2
python-click 8.0.1-1
python-cryptography 3.4.7-1
python-daemonize 2.5.0-4
python-distro 1.5.0-3
python-docker 5.0.0-1
python-docker-pycreds 0.4.0-7
python-dockerpty 0.4.1-8
python-docopt 0.6.2-9
python-docutils 0.17.1-1
python-dotenv 0.17.1-1
python-evdev 1.4.0-1
python-gobject 3.40.1-1
python-idna 3.2-1
python-imagesize 1.2.0-4
python-importlib-metadata 4.5.0-1
python-jinja 3.0.1-1
python-jsonschema 3.2.0-4
python-lxml 4.6.3-1
python-mako 1.1.4-1
python-markdown 3.3.4-1
python-markupsafe 2.0.1-1
python-more-itertools 8.7.0-1
python-notify2 0.3.1-5
python-numpy 1.20.3-1
python-openrazer 3.0.1-1
python-ordered-set 4.0.2-3
python-packaging 20.9-1
python-paramiko 2.7.2-3
python-pillow 8.2.0-2
python-ply 3.11-7
python-psutil 5.8.0-1
python-pycparser 2.20-3
python-pygments 2.9.0-1
python-pynacl 1.4.0-3
python-pyparsing 2.4.7-3
python-pyqt5 5.15.4-1
python-pyqt5-sip 12.9.0-1
python-pyrsistent 0.17.3-3
python-pyspotify 2.1.3-3
python-pytz 2021.1-1
python-pyudev 0.22-5
python-requests 2.25.1-1
python-setproctitle 1.2.2-1
python-setuptools 1:57.0.0-2
python-setuptools-scm 6.0.1-1
python-six 1.16.0-1
python-snowballstemmer 2.1.0-1
python-sphinx 4.0.2-1
python-sphinx-alabaster-theme 0.7.12-6
python-sphinxcontrib-applehelp 1.0.2-6
python-sphinxcontrib-devhelp 1.0.2-6
python-sphinxcontrib-htmlhelp 2.0.0-1
python-sphinxcontrib-jsmath 1.0.1-9
python-sphinxcontrib-qthelp 1.0.3-6
python-sphinxcontrib-serializinghtml 1.1.5-1
python-texttable 1.6.3-3
python-urllib3 1.26.5-1
python-websocket-client 0.59.0-1
python-yaml 5.4.1.1-2
python-zipp 3.4.1-1
qpdf 10.3.2-1
qt4 4.8.7-34
qt5-base 5.15.2+kde+r203-1
qt5-declarative 5.15.2+kde+r29-1
qt5-graphicaleffects 5.15.2-1
qt5-imageformats 5.15.2-1
qt5-location 5.15.2-3
qt5-multimedia 5.15.2-1
qt5-quickcontrols 5.15.2-1
qt5-quickcontrols2 5.15.2-1
qt5-script 5.15.5-2
qt5-speech 5.15.2-1
qt5-svg 5.15.2+kde+r7-1
qt5-tools 5.15.2+kde+r17-2
qt5-wayland 5.15.2+kde+r28-1
qt5-webchannel 5.15.2-1
qt5-webengine 5.15.5-1
qt5-x11extras 5.15.2-1
qt5-xmlpatterns 5.15.2-1
qt5ct 1.2-1
ranger 1.9.3-3
rav1e 0.4.1-1
razercommander 1.2.1.2-1
re2 1:20210601-1
readline 8.1.001-1
redshift 1.12-4
rest 0.8.1-3
rhash 1.4.1-1
ripgrep 13.0.0-2
rnnoise 0.4.1-1
rofi 1.6.1-1
rsync 3.2.3-3
rtkit 0.13-1
run-parts 4.11.2-1
runc 1.0.0-1
rust 1:1.53.0-1
sbc 1.5-2
sbcl 2.1.1-1
scrot 1.5-1
sdl 1.2.15-14
sdl2 2.0.14-1
sed 4.8-1
semver 7.3.5-2
shadow 4.8.1-4
shared-mime-info 2.0+57+gc1d1c70-1
signon-kwallet-extension 21.04.2-1
signon-plugin-oauth2 0.25-1
signon-ui 0.17+20171022-2
signond 8.60-3
siji 2021.01.01-1
snappy 1.1.8-2
sndio 1.7.0-3
soapui 5.6.0-2
solid 5.83.0-1
sonnet 5.83.0-1
sound-theme-freedesktop 0.8-4
spdlog 1.8.5-1
speex 1.2.0-3
speexdsp 1.2.0-2
sqlite 3.36.0-1
srt 1.4.3-1
startup-notification 0.12-7
sudo 1.9.7.p1-1
svt-av1 0.8.7-1
